,Id,Model,EHI,Extractiveness Factor (EF),Positive Hallucination (PH),Over Focus (OF),Negative Hallucination (NH),Lost Focus (LF),Entity F1 Score
1185,32806866,facebook/bart-large-cnn,0.6047110417920347,0.4090909090909091,0.5454545454545454,0.5294117647058824,0,0,0.5454545454545454
1186,32806866,google/pegasus-xsum,0.610639233949222,0.3,0.6666666666666666,0.26666666666666666,0,0.25,0.6666666666666665
1187,32806866,t5-large,0.14091726258209916,0,0,0.3076923076923077,0,1.5,0
1188,32806866,gpt-3.5-turbo,0.5966919700450249,0.375,0.6153846153846154,0.47368421052631576,0.125,0,0.6153846153846154
1189,32806866,RefSum,0.775750456855351,0.42857142857142855,1,0.1875,0,0,1
1190,32856926,facebook/bart-large-cnn,0.30109157658898267,0,0,0.8421052631578947,0,0,0
1191,32856926,google/pegasus-xsum,0.3944675127794143,0,0,0.42857142857142855,0,0,0
1192,32856926,t5-large,0.34864513533394575,0,0,0.625,0,0,0
1193,32856926,gpt-3.5-turbo,0.29285068910161577,0,0,0.631578947368421,0.25,0,0
1194,32856926,RefSum,0.7310585786300049,0,1,0,0,0,1
1195,32880098,facebook/bart-large-cnn,0.3697397770822487,0,0,0.5333333333333333,0,0,0
1196,32880098,google/pegasus-xsum,0.35625253502119786,0,0,0.4666666666666667,0.125,0,0
1197,32880098,t5-large,0.3816009290615866,0,0,0.4827586206896552,0,0,0
1198,32880098,gpt-3.5-turbo,0.32510867719343844,0,0,0.6470588235294118,0.08333333333333333,0,0
1199,32880098,RefSum,0.5,0,0,0,0,0,0
1200,32950900,facebook/bart-large-cnn,0.3971411563009335,0,0,0.21739130434782608,0,0.2,0
1201,32950900,google/pegasus-xsum,0.6779917215614879,0.061224489795918366,0.75,0.06666666666666667,0,0,0.75
1202,32950900,t5-large,0.34675509928171655,0,0,0.13333333333333333,0.25,0.25,0
1203,32950900,gpt-3.5-turbo,0.3946853418362205,0,0.2,0.1276595744680851,0.3333333333333333,0.16666666666666666,0.2
1204,32950900,RefSum,0.7386574470670731,0.061224489795918366,1,0.022222222222222223,0,0,1
1205,32950992,facebook/bart-large-cnn,0.3689405145647725,0,0,0.4117647058823529,0.125,0,0
1206,32950992,google/pegasus-xsum,0.39532091528599067,0,0.2,0.125,0.5,0,0.2
1207,32950992,t5-large,0.36163981009926877,0,0,0.45714285714285713,0.1111111111111111,0,0
1208,32950992,gpt-3.5-turbo,0.35853093081823056,0,0.1111111111111111,0.55,0.14285714285714285,0,0.11111111111111112
1209,32950992,RefSum,0.7310585786300049,0,1,0,0,0,1
1210,33144298,facebook/bart-large-cnn,0.31617015862591846,0,0,0.5714285714285714,0.2,0,0
1211,33144298,google/pegasus-xsum,0.2689414213699951,0,0,0,1,0,0
1212,33144298,t5-large,0.3775406687981454,0,0,0.5,0,0,0
1213,33144298,gpt-3.5-turbo,0.29594837238283755,0,0,0.5333333333333333,0.3333333333333333,0,0
1214,33144298,RefSum,0.7310585786300049,0,1,0,0,0,1
1215,33164904,facebook/bart-large-cnn,0.3697397770822487,0,0,0.5333333333333333,0,0,0
1216,33164904,google/pegasus-xsum,0.2689414213699951,0,0,0,1,0,0
1217,33164904,t5-large,0.42367812009254757,0,0,0.3076923076923077,0,0,0
1218,33164904,gpt-3.5-turbo,0.3697397770822487,0,0,0.5333333333333333,0,0,0
1219,33164904,RefSum,0.7310585786300049,0,1,0,0,0,1
1220,33425853,facebook/bart-large-cnn,0.320821300824607,0,0,0.75,0,0,0
1221,33425853,google/pegasus-xsum,0.2689414213699951,0,0,0,1,0,0
1222,33425853,t5-large,0.320821300824607,0,0,0.75,0,0,0
1223,33425853,gpt-3.5-turbo,0.2856375705089441,0,0,0.6666666666666666,0.25,0,0
1224,33425853,RefSum,0.7310585786300049,0,1,0,0,0,1
1225,33446602,facebook/bart-large-cnn,0.452524404873952,0,0,0.19047619047619047,0,0,0
1226,33446602,google/pegasus-xsum,0.2689414213699951,0,0,0,1,0,0
1227,33446602,t5-large,0.39731466202150834,0,0,0.4166666666666667,0,0,0
1228,33446602,gpt-3.5-turbo,0.37498970127889725,0,0,0.2608695652173913,0.25,0,0
1229,33446602,RefSum,0.7310585786300049,0,1,0,0,0,1
1230,33572386,facebook/bart-large-cnn,0.289050497374996,0,0,0.4,0.5,0,0
1231,33572386,google/pegasus-xsum,0.2689414213699951,0,0,0,1,0,0
1232,33572386,t5-large,0.5,0,0,0,0,0,0
1233,33572386,gpt-3.5-turbo,0.3775406687981454,0,0,0.5,0,0,0
1234,33572386,RefSum,0.5,0,0,0,0,0,0
1235,33682768,facebook/bart-large-cnn,0.47438142807934597,0,0,0.10256410256410256,0,0,0
1236,33682768,google/pegasus-xsum,0.48684514179383936,0,0,0.05263157894736842,0,0,0
1237,33682768,t5-large,0.47438142807934597,0,0,0.10256410256410256,0,0,0
1238,33682768,gpt-3.5-turbo,0.37299725810699536,0,0,0.18604651162790697,0.3333333333333333,0,0
