,Id,Model,EHI,Extractiveness Factor (EF),Positive Hallucination (PH),Over Focus (OF),Negative Hallucination (NH),Lost Focus (LF),Entity F1 Score
201,newsbeat-10002718,google/pegasus-xsum,0.4606118546845125,0.11538461538461539,0.2857142857142857,0.13636363636363635,0.3333333333333333,0,0.28571428571428575
202,newsbeat-10002718,t5-large,0,0,0,0.2727272727272727,0,0.3333333333333333,0
203,newsbeat-10002718,gpt-3.5-turbo,0.28608498216023354,0.0967741935483871,0.16666666666666666,0.4074074074074074,0.25,0,0.16666666666666666
204,newsbeat-10002718,RefSum,0.9623430962343097,0.1111111111111111,1,0.043478260869565216,0,0,1
205,newsbeat-11997559,facebook/bart-large-cnn,0,0,0,0.6382978723404256,0,0,0
206,newsbeat-11997559,google/pegasus-xsum,0.19879518072289157,0,0.14285714285714285,0.4090909090909091,0.16666666666666666,0,0.14285714285714285
207,newsbeat-11997559,t5-large,0,0,0,0.47619047619047616,0,0,0
208,newsbeat-11997559,gpt-3.5-turbo,0.17983651226158037,0,0.14285714285714285,0.3181818181818182,0.3333333333333333,0,0.14285714285714285
209,newsbeat-11997559,RefSum,1,0,1,0,0,0,1
210,newsbeat-15815086,facebook/bart-large-cnn,0,0,0,0.625,0,0,0
211,newsbeat-15815086,google/pegasus-xsum,0.8888888888888888,0,0.6666666666666666,0.08333333333333333,0,0,0.6666666666666666
212,newsbeat-15815086,t5-large,0,0,0,0.5806451612903226,0,0,0
213,newsbeat-15815086,gpt-3.5-turbo,0,0,0,0.5882352941176471,0.16666666666666666,0,0
214,newsbeat-15815086,RefSum,1,0,1,0,0,0,1
215,newsbeat-42729308,facebook/bart-large-cnn,0,0,0,0.41379310344827586,0,0,0
216,newsbeat-42729308,google/pegasus-xsum,0,0,0,0.08333333333333333,0,0,0
217,newsbeat-42729308,t5-large,0,0,0,0.2222222222222222,0.25,0,0
218,newsbeat-42729308,gpt-3.5-turbo,0,0,0,0.2222222222222222,0.25,0,0
219,newsbeat-42729308,RefSum,1,0,1,0,0,0,1
220,newsbeat-43652288,facebook/bart-large-cnn,0,0,0,0.38095238095238093,0,0.5,0
221,newsbeat-43652288,google/pegasus-xsum,0.7669322709163346,0.23076923076923078,0.6666666666666666,0.2727272727272727,0,0,0.6666666666666665
222,newsbeat-43652288,t5-large,0.4134648078884733,0.13043478260869565,0.3333333333333333,0.15789473684210525,0,0.5,0.3333333333333333
223,newsbeat-43652288,gpt-3.5-turbo,0.30037313432835827,0.1111111111111111,0.2,0.391304347826087,0.16666666666666666,0.16666666666666666,0.2
224,newsbeat-43652288,RefSum,0.92867332382311,0.24,1,0.09523809523809523,0,0,1
225,newsbeat-48666143,facebook/bart-large-cnn,0.44401041666666663,0.08333333333333333,0.2857142857142857,0.21212121212121213,0,0.25,0.28571428571428575
226,newsbeat-48666143,google/pegasus-xsum,0.6737232649498035,0.15384615384615385,0.6,0.2222222222222222,0.14285714285714285,0,0.6
227,newsbeat-48666143,t5-large,0.4611857189649525,0.08571428571428572,0.3333333333333333,0.15625,0,0.3333333333333333,0.3333333333333333
228,newsbeat-48666143,gpt-3.5-turbo,0.525629887054735,0.08333333333333333,0.5714285714285714,0.09090909090909091,0.25,0.25,0.5714285714285715
229,newsbeat-48666143,RefSum,0.9493487698986975,0.17142857142857143,1,0.0625,0,0,1
230,science-environment-24493530,facebook/bart-large-cnn,0,0,0,0,1,1,0
231,science-environment-24493530,google/pegasus-xsum,0,0,0,0,1,1,0
232,science-environment-24493530,t5-large,0,0,0,0.12244897959183673,0,0.3333333333333333,0
233,science-environment-24493530,gpt-3.5-turbo,0,0,0,0.36065573770491804,0.26666666666666666,0.06666666666666667,0
234,science-environment-24493530,RefSum,0.9803680981595093,0.0625,1,0.02127659574468085,0,0,1
235,science-environment-42204575,facebook/bart-large-cnn,0,0,0,0.2608695652173913,0,0,0
236,science-environment-42204575,google/pegasus-xsum,0,0,0,0,0,0,0
237,science-environment-42204575,t5-large,0,0,0,0.18181818181818182,0,0,0
238,science-environment-42204575,gpt-3.5-turbo,0,0,0,0.37037037037037035,0.2857142857142857,0,0
239,science-environment-42204575,RefSum,0,0,0,0,0,0,0
240,science-environment-44141840,facebook/bart-large-cnn,0,0,0,0.4583333333333333,0,0,0
241,science-environment-44141840,google/pegasus-xsum,0.8333333333333334,0,0.5,0.1,0,0,0.5
242,science-environment-44141840,t5-large,0,0,0,0.15,0,0,0
243,science-environment-44141840,gpt-3.5-turbo,0.19905213270142183,0,0.15384615384615385,0.2857142857142857,0.3333333333333333,0,0.15384615384615385
244,science-environment-44141840,RefSum,1,0,1,0,0,0,1
245,science-environment-46582265,facebook/bart-large-cnn,0.45169522420707253,0.1276595744680851,0.5,0.09523809523809523,0,0.6666666666666666,0.5
246,science-environment-46582265,google/pegasus-xsum,0.35238856685988407,0.125,0.4444444444444444,0.046511627906976744,0.5,0.5,0.4444444444444445
247,science-environment-46582265,t5-large,0.45169522420707253,0.1276595744680851,0.5,0.09523809523809523,0,0.6666666666666666,0.5
248,science-environment-46582265,gpt-3.5-turbo,0.4031557283329522,0.125,0.4444444444444444,0.09302325581395349,0.25,0.5,0.4444444444444445
249,science-environment-46582265,RefSum,0.9319444444444445,0.24489795918367346,1,0.09090909090909091,0,0,1
250,science-environment-48786295,facebook/bart-large-cnn,0.4936708860759494,0.15,0.5,0.16666666666666666,0,0.5,0.5
251,science-environment-48786295,google/pegasus-xsum,0,0,0,0,0,0,0
252,science-environment-48786295,t5-large,0.5529066568861176,0.1956521739130435,0.42857142857142855,0.40476190476190477,0,0.1,0.4285714285714285
253,science-environment-48786295,gpt-3.5-turbo,0.45482388973966315,0.1875,0.375,0.3409090909090909,0.25,0.08333333333333333,0.375
254,science-environment-48786295,RefSum,0.921259842519685,0.3,1,0.1111111111111111,0,0,1
255,science-environment-55769269,facebook/bart-large-cnn,0,0,0,0.14814814814814814,0,0,0
256,science-environment-55769269,google/pegasus-xsum,1,0,1,0,0,0,1
257,science-environment-55769269,t5-large,0,0,0,0.07692307692307693,0,0,0
258,science-environment-55769269,gpt-3.5-turbo,0,0,0,0.06451612903225806,0.8333333333333334,0,0
259,science-environment-55769269,RefSum,1,0,1,0,0,0,1
